transaction_id,created_at,reporting_month,account_id,counterparty_account,transaction_group_id,transaction_type,status,amount,currency,balance_before,balance_after,regulatory_code,finalized,record_hash,prev_record_hash,metadata,_ingested_at,amount_signed,balance_delta,metadata_channel,metadata_note,created_date,created_month,monto_firmado,val_balance,val_reporting_month,val_amount,val_hash_present,val_hash_chain,val_unique_id,registro_valido,observaciones
tx000000-0000-0000-0000-00000000001C,2026-01-28 14:55:00+00:00,2026-01,ACC1014,CLIENT-414,GRP-202601-96,CREDIT,COMPLETED,220.0,USD,800.0,1020.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001C,0000000000000000000000000000000000000000000000000000000000000000,note=invoice|channel=WIRE,2026-05-27T05:06:40.291935Z,220.0,220.0,WIRE,invoice,2026-01-28,2026-01,220.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000001E,2026-01-30 16:15:00+00:00,2026-01,ACC1015,CLIENT-515,GRP-202601-98,CREDIT,COMPLETED,600.0,USD,300.0,900.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000001E,0000000000000000000000000000000000000000000000000000000000000000,note=bonus|channel=HR,2026-05-27T05:06:40.291935Z,600.0,600.0,HR,bonus,2026-01-30,2026-01,600.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000020,2026-02-01 08:00:00+00:00,2026-02,ACC1001,CLIENT-100,GRP-202602-01,CREDIT,COMPLETED,2000.0,USD,5750.0,7750.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000020,hash000000000000000000000000000000000000000000000000000000000002,note=large deposit|channel=ATM,2026-05-27T05:06:40.291935Z,2000.0,2000.0,ATM,large deposit,2026-02-01,2026-02,2000.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000021,2026-02-02 09:10:00+00:00,2026-02,ACC1002,CLIENT-771,GRP-202602-02,DEBIT,COMPLETED,150.0,USD,4200.0,4050.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000021,hash000000000000000000000000000000000000000000000000000000000006,note=payment|channel=CARD,2026-05-27T05:06:40.291935Z,-150.0,-150.0,CARD,payment,2026-02-02,2026-02,-150.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000022,2026-02-03 10:20:00+00:00,2026-02,ACC1003,CLIENT-222,GRP-202602-03,CREDIT,COMPLETED,100.0,USD,1955.0,2055.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000022,hash000000000000000000000000000000000000000000000000000000000018,note=refund|channel=CARD,2026-05-27T05:06:40.291935Z,100.0,100.0,CARD,refund,2026-02-03,2026-02,100.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000023,2026-02-04 11:30:00+00:00,2026-02,ACC1004,MERCH-777,GRP-202602-04,DEBIT,COMPLETED,20.0,USD,700.01,680.01,RPT01,True,hash000000000000000000000000000000000000000000000000000000000023,hash000000000000000000000000000000000000000000000000000000000009,note=small purchase|merchant_category=Retail,2026-05-27T05:06:40.291935Z,-20.0,-20.0,,small purchase,2026-02-04,2026-02,-20.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000024,2026-02-05 12:40:00+00:00,2026-02,ACC1005,CLIENT-555,GRP-202602-05,CREDIT,COMPLETED,250.0,USD,1800.0,2050.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000024,hash00000000000000000000000000000000000000000000000000000000000A,note=client payout|channel=WIRE,2026-05-27T05:06:40.291935Z,250.0,250.0,WIRE,client payout,2026-02-05,2026-02,250.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000025,2026-02-06 13:50:00+00:00,2026-02,ACC1006,CLIENT-888,GRP-202602-06,DEBIT,COMPLETED,12.0,USD,650.0,638.0,RPT01,True,invalidhashshort,hash00000000000000000000000000000000000000000000000000000000000C,note=subscription|plan=basic,2026-05-27T05:06:40.291935Z,-12.0,-12.0,,subscription,2026-02-06,2026-02,-12.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000026,2026-02-07 14:55:00+00:00,2026-02,ACC1007,CLIENT-999,GRP-202602-07,CREDIT,COMPLETED,400.0,USD,1100.0,1500.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000026,hash00000000000000000000000000000000000000000000000000000000001E,note=salary|employer=XYZ,2026-05-27T05:06:40.291935Z,400.0,400.0,,salary,2026-02-07,2026-02,400.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000027,2026-02-08 15:05:00+00:00,2026-02,ACC1008,MERCH-500,GRP-202602-08,DEBIT,COMPLETED,15.0,USD,530.0,515.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000027,hash000000000000000000000000000000000000000000000000000000000010,note=fast food|merchant_category=Food,2026-05-27T05:06:40.291935Z,-15.0,-15.0,,fast food,2026-02-08,2026-02,-15.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000028,2026-02-09 16:15:00+00:00,2026-02,ACC1009,CLIENT-444,GRP-202602-09,CREDIT,COMPLETED,800.0,USD,750.0,1550.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000028,hash000000000000000000000000000000000000000000000000000000000012,note=deposit|channel=ATM,2026-05-27T05:06:40.291935Z,800.0,800.0,ATM,deposit,2026-02-09,2026-02,800.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000029,2026-02-10 17:25:00+00:00,2026-02,ACC1010,MERCH-303,GRP-202602-10,DEBIT,COMPLETED,60.0,USD,1520.0,1460.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000029,hash000000000000000000000000000000000000000000000000000000000014,note=groceries|merchant_category=Food,2026-05-27T05:06:40.291935Z,-60.0,-60.0,,groceries,2026-02-10,2026-02,-60.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000002A,2026-02-11 18:35:00+00:00,2026-02,ACC1011,CLIENT-121,GRP-202602-11,CREDIT,COMPLETED,950.0,USD,1000.0,1950.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002A,hash000000000000000000000000000000000000000000000000000000000016,note=payroll|channel=WIRE,2026-05-27T05:06:40.291935Z,950.0,950.0,WIRE,payroll,2026-02-11,2026-02,950.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000002B,2026-02-12 19:45:00+00:00,2026-02,ACC1012,MERCH-101,GRP-202602-12,DEBIT,COMPLETED,130.0,USD,650.0,520.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002B,hash000000000000000000000000000000000000000000000000000000000018,note=market|merchant_category=Food,2026-05-27T05:06:40.291935Z,-130.0,-130.0,,market,2026-02-12,2026-02,-130.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000002C,2026-02-13 08:00:00+00:00,2026-02,ACC1013,CLIENT-313,GRP-202602-13,CREDIT,COMPLETED,500.0,USD,600.0,1100.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002C,hash00000000000000000000000000000000000000000000000000000000001A,note=deposit|channel=ATM,2026-05-27T05:06:40.291935Z,500.0,500.0,ATM,deposit,2026-02-13,2026-02,500.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000002D,2026-02-14 09:10:00+00:00,2026-02,ACC1014,MERCH-202,GRP-202602-14,DEBIT,COMPLETED,40.0,USD,1020.0,980.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002D,hash00000000000000000000000000000000000000000000000000000000001C,note=books|merchant_category=Books,2026-05-27T05:06:40.291935Z,-40.0,-40.0,,books,2026-02-14,2026-02,-40.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000002E,2026-02-15 10:20:00+00:00,2026-02,ACC1015,CLIENT-515,GRP-202602-15,CREDIT,COMPLETED,0.0,USD,900.0,900.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002E,hash00000000000000000000000000000000000000000000000000000000001E,note=zero amount test|channel=TEST,2026-05-27T05:06:40.291935Z,0.0,0.0,TEST,zero amount test,2026-02-15,2026-02,0.0,True,True,False,True,False,True,False,Monto inválido | Cadena de hashes inválida
tx000000-0000-0000-0000-00000000002F,2026-02-16 11:30:00+00:00,2026-02,ACC1016,MERCH-404,GRP-202602-16,DEBIT,COMPLETED,,USD,820.0,,RPT01,True,hash00000000000000000000000000000000000000000000000000000000002F,hash00000000000000000000000000000000000000000000000000000000001F,note=invalid amount|merchant_category=Tech,2026-05-27T05:06:40.291935Z,,,,invalid amount,2026-02-16,2026-02,,False,True,False,True,False,True,False,Monto inválido | Saldo inconsistente | Cadena de hashes inválida
tx000000-0000-0000-0000-000000000030,2026-02-17 12:40:00+00:00,2026-02,ACC1016,CLIENT-626,GRP-202602-17,CREDIT,COMPLETED,250.0,US$,820.0,1070.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000030,hash00000000000000000000000000000000000000000000000000000000001F,note=invalid currency symbol,2026-05-27T05:06:40.291935Z,250.0,250.0,,invalid currency symbol,2026-02-17,2026-02,250.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000031,,2026-02,ACC1017,CLIENT-727,GRP-202602-18,DEBIT,COMPLETED,45.0,USD,195.0,150.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000031,hash00000000000000000000000000000000000000000000000000000000002A,note=bad date format,2026-05-27T05:06:40.291935Z,-45.0,-45.0,,bad date format,,,-45.0,True,False,True,True,False,True,False,Mes de reporte no coincide con created_at | Cadena de hashes inválida
tx000000-0000-0000-0000-000000000032,2026-02-19 14:55:00+00:00,2026-02,ACC1017, ,GRP-202602-19,CREDIT,COMPLETED,75.0,USD,150.0,225.0,RPT01,True,632b0a7fe8037bddd8091da1fa9ecd145ab34e14935b8de7de3f08ea7609e2a2,hash000000000000000000000000000000000000000000000000000000000031,note=missing record_hash,2026-05-27T05:06:40.291935Z,75.0,75.0,,missing record_hash,2026-02-19,2026-02,75.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000033,2026-02-20 15:05:00+00:00,2026-02,ACC1018,CLIENT-828,GRP-202602-20,DEBIT,FAILED,100.0,USD,400.0,300.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000033,hash000000000000000000000000000000000000000000000000000000000032,note=failed transaction,2026-05-27T05:06:40.291935Z,-100.0,-100.0,,failed transaction,2026-02-20,2026-02,-100.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000034,2026-02-21 16:15:00+00:00,2026-02,ACC1018,MERCH-909,GRP-202602-21,DEBIT,COMPLETED,-50.0,USD,300.0,350.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000034,hash000000000000000000000000000000000000000000000000000000000033,note=negative amount error,2026-05-27T05:06:40.291935Z,-50.0,50.0,,negative amount error,2026-02-21,2026-02,-50.0,False,True,False,True,True,True,False,Monto inválido | Saldo inconsistente
tx000000-0000-0000-0000-000000000035,2026-02-22 17:25:00+00:00,2026-02,ACC1019,CLIENT-929,GRP-202602-22,CREDIT,COMPLETED,1000.0,USD,50.0,1050.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000035,hash00000000000000000000000000000000000000000000000000000000002E,note=deposit|channel=ATM,2026-05-27T05:06:40.291935Z,1000.0,1000.0,ATM,deposit,2026-02-22,2026-02,1000.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000037,2026-03-01 08:00:00+00:00,2026-03,ACC1001,CLIENT-100,GRP-202603-01,CREDIT,COMPLETED,1500.0,USD,7750.0,9250.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000037,hash000000000000000000000000000000000000000000000000000000000020,note=pay in|channel=ACH,2026-05-27T05:06:40.291935Z,1500.0,1500.0,ACH,pay in,2026-03-01,2026-03,1500.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000038,2026-03-02 09:10:00+00:00,2026-03,ACC1002,CLIENT-771,GRP-202603-02,DEBIT,COMPLETED,300.0,USD,4050.0,3750.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000038,hash000000000000000000000000000000000000000000000000000000000021,note=loan repayment,2026-05-27T05:06:40.291935Z,-300.0,-300.0,,loan repayment,2026-03-02,2026-03,-300.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000039,2026-03-03 10:20:00+00:00,2026-03,ACC1003,CLIENT-222,GRP-202603-03,CREDIT,COMPLETED,200.0,USD,2055.0,2255.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000039,hash000000000000000000000000000000000000000000000000000000000022,note=client deposit,2026-05-27T05:06:40.291935Z,200.0,200.0,,client deposit,2026-03-03,2026-03,200.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000003A,2026-03-04 11:30:00+00:00,2026-03,ACC1004,MERCH-777,GRP-202603-04,DEBIT,COMPLETED,15.0,USD,680.01,665.01,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003A,hash000000000000000000000000000000000000000000000000000000000023,note=coffee|merchant_category=Food,2026-05-27T05:06:40.291935Z,-15.0,-15.0,,coffee,2026-03-04,2026-03,-15.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000003B,2026-03-05 12:40:00+00:00,2026-03,ACC1005,CLIENT-555,GRP-202603-05,CREDIT,COMPLETED,100.0,USD,2050.0,2150.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003B,hash000000000000000000000000000000000000000000000000000000000024,note=small deposit,2026-05-27T05:06:40.291935Z,100.0,100.0,,small deposit,2026-03-05,2026-03,100.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000003C,2026-03-06 13:50:00+00:00,2026-03,ACC1006,CLIENT-888,GRP-202603-06,DEBIT,COMPLETED,22.0,USD,638.0,616.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003C,invalidprevhash,note=subscription renewal,2026-05-27T05:06:40.291935Z,-22.0,-22.0,,subscription renewal,2026-03-06,2026-03,-22.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000003D,2026-03-07 14:55:00+00:00,2026-03,ACC1007,CLIENT-999,GRP-202603-07,CREDIT,COMPLETED,250.0,USD,1500.0,1750.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003D,hash000000000000000000000000000000000000000000000000000000000026,note=salary,2026-05-27T05:06:40.291935Z,250.0,250.0,,salary,2026-03-07,2026-03,250.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000003E,2026-03-08 15:05:00+00:00,2026-03,ACC1008,MERCH-500,GRP-202603-08,DEBIT,COMPLETED,10.0,USD,515.0,505.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003E,hash000000000000000000000000000000000000000000000000000000000027,note=snack,2026-05-27T05:06:40.291935Z,-10.0,-10.0,,snack,2026-03-08,2026-03,-10.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000003F,2026-03-09 16:15:00+00:00,2026-03,ACC1009,CLIENT-444,GRP-202603-09,CREDIT,COMPLETED,600.0,USD,1550.0,2150.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000003F,hash000000000000000000000000000000000000000000000000000000000028,note=deposit,2026-05-27T05:06:40.291935Z,600.0,600.0,,deposit,2026-03-09,2026-03,600.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000040,2026-03-10 17:25:00+00:00,2026-03,ACC1010,MERCH-303,GRP-202603-10,DEBIT,COMPLETED,70.0,USD,1460.0,1390.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000040,hash000000000000000000000000000000000000000000000000000000000029,note=electronics|merchant_category=Tech,2026-05-27T05:06:40.291935Z,-70.0,-70.0,,electronics,2026-03-10,2026-03,-70.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000041,2026-03-11 08:30:00+00:00,2026-03,ACC1011,CLIENT-121,GRP-202603-11,CREDIT,COMPLETED,1100.0,USD,1950.0,3050.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000041,hash00000000000000000000000000000000000000000000000000000000002A,note=bonus,2026-05-27T05:06:40.291935Z,1100.0,1100.0,,bonus,2026-03-11,2026-03,1100.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000042,2026-03-12 09:40:00+00:00,2026-03,ACC1012,MERCH-101,GRP-202603-12,DEBIT,COMPLETED,140.0,USD,520.0,380.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000042,hash00000000000000000000000000000000000000000000000000000000002B,note=market|merchant_category=Food,2026-05-27T05:06:40.291935Z,-140.0,-140.0,,market,2026-03-12,2026-03,-140.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000043,2026-03-13 10:50:00+00:00,2026-03,ACC1013,CLIENT-313,GRP-202603-13,CREDIT,COMPLETED,500.0,USD,1100.0,1600.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000043,hash00000000000000000000000000000000000000000000000000000000002C,note=payin,2026-05-27T05:06:40.291935Z,500.0,500.0,,payin,2026-03-13,2026-03,500.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000044,2026-03-14 11:55:00+00:00,2026-03,ACC1014,MERCH-202,GRP-202603-14,DEBIT,COMPLETED,55.0,USD,980.0,925.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000044,hash00000000000000000000000000000000000000000000000000000000002D,note=books,2026-05-27T05:06:40.291935Z,-55.0,-55.0,,books,2026-03-14,2026-03,-55.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000045,2026-03-15 12:05:00+00:00,2026-03,ACC1015,CLIENT-515,GRP-202603-15,CREDIT,COMPLETED,700.0,USD,900.0,1600.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000045,hash00000000000000000000000000000000000000000000000000000000002E,note=bonus payout,2026-05-27T05:06:40.291935Z,700.0,700.0,,bonus payout,2026-03-15,2026-03,700.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000046,2026-03-16 13:15:00+00:00,2026-03,ACC1016,MERCH-404,GRP-202603-16,DEBIT,COMPLETED,49.99,USD,,950.01,RPT01,True,hash000000000000000000000000000000000000000000000000000000000046,hash00000000000000000000000000000000000000000000000000000000002F,note=missing balance_before,2026-05-27T05:06:40.291935Z,-49.99,,,missing balance_before,2026-03-16,2026-03,-49.99,False,True,True,True,False,True,False,Saldo inconsistente | Cadena de hashes inválida
tx000000-0000-0000-0000-000000000047,2026-03-17 14:25:00+00:00,2026-03,ACC1017,CLIENT-727,GRP-202603-17,CREDIT,COMPLETED,600.0,USD,150.0,750.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000047,hash000000000000000000000000000000000000000000000000000000000031,note=deposit,2026-05-27T05:06:40.291935Z,600.0,600.0,,deposit,2026-03-17,2026-03,600.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000048,2026-03-18 15:35:00+00:00,2026-03,ACC1018,MERCH-909,GRP-202603-18,DEBIT,COMPLETED,35.0,USD,300.0,265.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000048,hash000000000000000000000000000000000000000000000000000000000033,note=retail,2026-05-27T05:06:40.291935Z,-35.0,-35.0,,retail,2026-03-18,2026-03,-35.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-000000000049,2026-03-19 16:45:00+00:00,2026-03,ACC1019,CLIENT-929,GRP-202603-19,CREDIT,COMPLETED,500.0,USD,1050.0,1550.0,RPT01,True,hash000000000000000000000000000000000000000000000000000000000049,hash000000000000000000000000000000000000000000000000000000000035,note=deposit,2026-05-27T05:06:40.291935Z,500.0,500.0,,deposit,2026-03-19,2026-03,500.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000004A,2026-03-20 17:55:00+00:00,2026-03,ACC1020,MERCH-111,GRP-202603-20,DEBIT,COMPLETED,9.99,USD,90.01,80.02,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004A,hash000000000000000000000000000000000000000000000000000000000036,note=small item,2026-05-27T05:06:40.291935Z,-9.99,-9.990000000000009,,small item,2026-03-20,2026-03,-9.99,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000004B,2026-03-21 18:05:00+00:00,2026-03,ACC1001,CLIENT-100,GRP-202603-21,DEBIT,COMPLETED,3000.0,USD,9250.0,6250.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004B,hash000000000000000000000000000000000000000000000000000000000037,note=big payout,2026-05-27T05:06:40.291935Z,-3000.0,-3000.0,,big payout,2026-03-21,2026-03,-3000.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000004C,2026-03-22 08:15:00+00:00,2026-03,ACC1002,CLIENT-771,GRP-202603-22,DEBIT,COMPLETED,400.0,USD,3750.0,3350.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004C,hash000000000000000000000000000000000000000000000000000000000038,note=loan|channel=BANK,2026-05-27T05:06:40.291935Z,-400.0,-400.0,BANK,loan,2026-03-22,2026-03,-400.0,True,True,True,True,False,True,False,Cadena de hashes inválida
tx000000-0000-0000-0000-00000000004D,2026-03-23 09:25:00+00:00,2026-03,ACC1003,CLIENT-222,GRP-202603-23,CREDIT,COMPLETED,300.0,USD,2255.0,2555.0,RPT01,True,hash00000000000000000000000000000000000000000000000000000000004D,hash000000000000000000000000000000000000000000000000000000000039,note=client top-up,2026-05-27T05:06:40.291935Z,300.0,300.0,,client top-up,2026-03-23,2026-03,300.0,True,True,True,True,False,True,False,Cadena de hashes inválida
